ISBN,bookTitle,bookAuthor
0002005018,Clara Callan,Richard Bruce Wright
0060168013,Pigs in Heaven,Barbara Kingsolver
0060013117,Night Watch,Terry Pratchett
0060173289,Divine Secrets of the Ya-Ya Sisterhood : A Novel,Rebecca Wells
0020442408,Prince Caspian,C. S. Lewis
006017143X,The Night Listener,Armistead Maupin
0060083298,The Dominant Blonde,Alisa Kwitney
000649840X,Angelas Ashes,Frank Mccourt
0020518609,Short Stories of Ernest Hemingway (A Scribner classic),Ernest Hemingway
0060175400,The Poisonwood Bible,Barbara Kingsolver
0006550789,253,Geoff Ryman
0060002492,Amazonia,James Rollins
0060182792,Anam Cara : A Book of Celtic Wisdom,John O'Donohue
0060175532,Young Wives,Olivia Goldsmith
0060167084,"Making History: The Struggle for Gay and Lesbian Equal Rights, 1945-1990 : An Oral History",Eric Marcus
0030020786,Principles of Instrumental Analysis,Douglas A. Skoog
0060009241,See Jane Score (Avon Romance),Rachel Gibson
0060001453,Love With the Proper Husband (Avon Historical Romance),Victoria Alexander
0060002050,On a Wicked Dawn (Cynster Novels),Stephanie Laurens
0060001445,"Her Highness, My Wife",Victoria Alexander
0020532105,CRY THE BELOVED COUNTRY (Scribner Classic),Alan Paton
0060175966,The Professor and the Madman,Simon Winchester
0020442602,Voyage of the Dawn Treader,C. S. Lewis
0007154615,Unless : A Novel,Carol Shields
0020519001,A Farewell to Arms (A Scribner Classic),Ernest Hemingway
0060092645,My Favorite Bride,Christina Dodd
0060183527,Our Kind of People: Inside America's Black Upper Class,Lawrence Otis Graham
0060011912,Small Town,Lawrence Block
0060092963,Adventures of a Scottish Heiress,Cathy Maxwell
002026478X,AGE OF INNOCENCE (MOVIE TIE-IN),Edith Wharton
002542730X,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner
0020427859,"Over Sea, Under Stone",Susan Cooper
0060009225,Call Each River Jordan,Owen Parry
0043510744,Metamorphosis,David Suzuki
0060008776,Pagan Babies,Elmore Leonard
006000438X,The Death of Vishnu: A Novel,Manil Suri
0028625757,The Complete Illustrated Guide to Everything Sold in Hardware Stores,Steve Ettlinger
0060086246,Last Chance Saloon,Marian Keyes
0028604032,The New York Public Library Science Desk Reference (The New York Public Library Series),Patricia Barnes-Svarney
0060083956,Mr. Paradise:  A Novel,Elmore Leonard
0060005556,"Last to Die (Grippando, James)",James Grippando
0020418809,CADDIE WOODLAWN,Carol Ryrie Brink
0007110928,Billy,Pamela Stephenson
0044402449,Immortal Blood,Barbara Hambly
0028617363,The Complete Idiot's Guide to Chess,Patrick Wolff
006000469X,"Engaged to Die : A Death on Demand Mystery (Hart, Carolyn G)",Carolyn Hart
006001203X,Dr. Atkins' New Diet Revolution,Robert C. Atkins
006000780X,Boy Still Missing : A Novel,John Searles
0060083948,Tishomingo Blues,Elmore Leonard
0060009640,Crush Depth,Joe Buff
0060092165,Two Cooks A-Killing : An Angie Amalfi Mystery,Joanne Pence
0060090375,Lucy Sullivan Is Getting Married,Marian Keyes
006016848X,"Men Are from Mars, Women Are from Venus: A Practical Guide for Improving Communication and Getting What You Want in Your Relationships",John Gray
0020198817,The GREAT GATSBY (A Scribner Classic),F. Scott Fitzgerald
0060159081,Oscar and Lucinda,Peter Carey
0006280803,Kundun,Mary Craig
0007106572,Guilty Creatures,Sue Welfare
0060089296,Kiss Lonely Goodbye,Lynn Emery
0060176563,Rebel: The Life and Legend of James Dean,Donald Spoto
0060175680,Switcheroo,Olivia Goldsmith
0020442203,"Lion, the Witch and the Wardrobe",C.S. Lewis
0020474105,ELEMENTS OF EDITING,Arthur Plotnik
0020154402,Elements of Grammar,Margaret Shertzer
0024182001,Elements of Style 3ED,William Jr. Strunk
0060163747,Return to Love: Reflections on the Principles of a Course in Miracles,Marianne Williamson
0006551076,Ocean In Iowa,Peter Hedges
0030423910,Circus ABC,Paulita Sedgwick
0006547834,Miss Smillas Feeling for Snow,Peter Hoeg
0006485936,Dust,Arthur G. Slade
0020198906,Joshua,Joseph F Girzone
0030448565,Doonesbury's Greatest Hits,G. B. Trudeau
0020199600,GREAT GATSBY (REISSUE),F. Scott Fitzgerald
0006550576,Red Leaves,Paullina Simons
0060175796,The Bean Trees Anniversary Edition : A Novel,Barbara Kingsolver
0060084405,Bread Alone : A Novel,Judith R. Hendricks
0060012331,The Amazing Maurice and His Educated Rodents,Terry Pratchett
0006742939,The Weirdstone of Brisingamen,Alan Garner
0001047973,Brave New World,Aldous Huxley
0060173211,Don't Pee on My Leg and Tell Me It's Raining: America's Toughest Family Court Judge Speaks Out,Judy Sheindlin
0020519605,A Moveable Feast (Scribner Classic),Ernest Hemingway
006009527X,Fire Lover: A True Story,Joseph Wambaugh
0028604199,Once upon a More Enlightened Time: More Politically Correct Bedtime Stories,James Finn Garner
0060154969,"Love, Medicine, and Miracles",Bernard S. Siegel
0006143199,SNOW TIGER,Bagley Desmond
0060008865,Do No Harm,Gregg Hurwitz
0060177888,All I Know About Animal Behavior I Learned in Loehmann's Dressing Room,Erma Bombeck
0028613228,The New York Public Library American History Desk Reference (New York Public Library Series),Frommer
0060005424,Lirael: Daughter of the Clayr,Garth Nix
0060008369,The Shadows of Power,James W. Huston
0060094397,Dale Brown's Dreamland: Razor's Edge (Dreamland (Harper Paperback)),Dale Brown
0028617274,The Tea Companion,Jane Pettigrew
0060083263,"Sleeping Beauty (Margolin, Phillip)",Phillip Margolin
0060164662,"28 Barbary Lane : A \Tales of the City\"" Omnibus""",Armistead Maupin
0060085444,She Went All the Way (Avon Light Contemporary Romances),Meggin Cabot
0007119860,The Colour of Heaven,James Runcie
0020960808,The Natural Superiority of Women,Ashley Montagu
0030632366,Outrageous Acts and Everyday Rebellions,Gloria Steinem
0020869002,Perelandra,C.S. Lewis
0060096195,The Boy Next Door,Meggin Cabot
0060097469,Dancing in My Nuddy-Pants : Even Further Confessions of Georgia Nicolson (Confessions of Georgia Nicolson),Louise Rennison
0060084456,Chasing Rumi: A Fable About Finding the Heart's True Desire,Roger Housden
0060090367,Watermelon,Marian Keyes
0060185287,Flight Lessons,Patricia Gaffney
0060173084,Ten Stupid Things Men Do to Mess Up Their Lives,Laura C. Schlessinger
0006548180,Cat among the pigeons: A Catholic miscellany,Alice Thomas Ellis
0060171928,Mutant Message Down Under,Marlo Morgan
0060174900,The Bell Jar (Perennial Classics),Sylvia Plath
0020199856,LOVE OF THE LAST TYCOON,F. Scott Fitzgerald
0006385370,Freedom's Just Another Word,Dakota Hamilton
0006480608,The Piano Man's Daughter,Timothy Findley
0002244098,Dust to dust: Stories,Timothy Findley
0027582000,"The Lion, the Witch and the Wardrobe",C. S. Lewis
0020223722,HOW GREEN WAS MY VALLEY,Richard Llewellyn
0028610105,How to Cook Everything: Simple Recipes for Great Food,Mark  Bittman
0024103411,Food for Fifty,Grace Shugart
0020446500,Z for Zachariah,Robert C. O'Brien
0060167688,After All These Years,Susan Isaacs
0002712172,The Death of the Body,C.K. Stead
0060093595,The Conquest,Yxta Maya Murray
0060002433,Sons of Heaven: A Novel,Terrence Cheng
0060090383,Rachel's Holiday,Marian Keyes
0060081961,Once Upon a Town: The Miracle of the North Platte Canteen,Bob Greene
0060086386,Filthy Rich,Dorothy Samuels
0020631502,The MacMillan Book of Organic Gardening,Marie-Luise Kreuter
0060097825,Zoya's Story: An Afghan Woman's Struggle for Freedom,John Follain
0020868308,"Mere Christianity: A revised and enlarged edition, with a new introduction, of the three books, The case for Christianity, Christian behaviour, and Beyond personality",C. S Lewis
0006386369,Flowers on My Grave: How an Ojibwa Boy's Death Helped Break the Silence on Child Abuse,Ruth Teichroeb
0060183136,Wouldn't It Be Nice?: My Own Story,Brian Wilson
0060185147,Courting Trouble,Lisa Scottoline
0060139145,"The Gulag Archipelago, 1918-1956 : An Experiment in Literary Investigation I-II",Alexander Solzhenitsyn
0060080841,The Stepford Wives,Ira Levin
0020412401,LITTLE WOMEN,Louisa May Alcott
0002550563,Black &amp; White Cats,J.C. Suares
0060171626,What Your Mother Couldn't Tell You and Your Father Didn't Know: Advanced Relationship Skills for Better Communication and Lasting Intimacy,John Gray
0028604202,Politically Correct Holiday Stories: For an Enlightened Yuletide Season,James Finn Garner
0020518706,The Sun Also Rises (A Scribner classic),Ernest Hemingway
0060175184,The Fourth Estate,Jeffrey Archer
0060098538,Black Silk (Avon Romance),Judith Ivory
0060153016,A Creed for the Third Millennium,Colleen McCullough
0028702506,Schirmer Pronouncing Pocket Manual of Musical Terms,"Theodore, Ed. Baker"
0020868901,GREAT DIVORCE,C.S. Lewis
0020442300,The Magician's Nephew,C. S. Lewis
0028630092,Betty Crocker's New Cookbook,Betty Crocker
0025196359,BARBARA BUSH : A Memoir,Barbara Bush
0060169613,365 Ways to Cook Chinese,Rosa Ross
